item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6251,一种多功能拖把,CN209073651U,2019.07.09,2.02E+12,2018.11.30,安徽蒙西贸易有限公司,王锋,230000安徽省合肥市蜀山区潜山北路501号春晓花园1幢1201,A46B11/06(2006.01)I;??B60S3/04(2006.01)I
6252,一种土工格室焊接定位装置,CN209078148U,2019.07.09,2.02E+12,2018.12.04,山东宝盛新材料科技有限公司,武向晖,271000山东省泰安市开发区泰山科技城B座2楼西户,B23K37/04(2006.01)I
6253,采用新型回转工作台的立式车床,CN209077816U,2019.07.09,2.02E+12,2018.12.04,德阳剑峰机电设备制造有限公司,罗剑,618000四川省德阳市旌阳区天元经济技术开发区,B23B25/00(2006.01)I;??B23Q11/08(2006.01)I
6254,一种便于维护的物联网电控网关,CN209088988U,2019.07.09,2.02E+12,2018.12.04,深圳市青藤物联网科技有限公司,叶经纬;??吴伟智,518129广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司),H04L12/66(2006.01)I;??H04Q1/02(2006.01)I
6255,一种自动试压设备,CN209085848U,2019.07.09,2.02E+12,2018.12.04,雷纳德流体智能科技江苏股份有限公司,黄胜华;??唐清权,224400江苏省盐城市阜宁经济开发区黄河路33号,G01M3/02(2006.01)I
6256,一种弯嘴型的鸭嘴钳,CN209078566U,2019.07.09,201822025801X,2018.12.04,临安振发工具有限公司,申卫民;??王伟春;??张荣华,311300浙江省杭州市临安市太阳镇枫树岭工业功能区,B25B3/00(2006.01)I;??B25B5/16(2006.01)I
6257,一种可调式水位分级检测装置,CN209085705U,2019.07.09,2.02E+12,2018.12.04,广州华铭电力科技有限公司,刘长辉,510000广东省广州市高新技术产业开发区科学大道286号201之自编213房,G01F23/00(2006.01)I
6258,一种适用于智能电子网络配线架的三面旋转装置,CN209089155U,2019.07.09,2.02E+12,2018.12.03,徐州宇力科技发展有限公司,吴佳琦;??李志,221000江苏省徐州市西苑小区二期55-1-304,H04Q1/14(2006.01)I
6259,一种锂电池用铜箔的打孔装置,CN209078887U,2019.07.09,2.02E+12,2018.12.05,江西铜博科技有限公司,石晨;,344000江西省抚州市抚州高新技术产业开发区高新六路687号,B26F1/16(2006.01)I;
6260,变电容压力传感器,CN209085807U,2019.07.09,2.02E+12,2018.12.05,伍颖超;??陈松;??骆航,伍颖超;??陈松;??骆航,518000广东省深圳市南山区沙河华侨城芳华苑樱花阁704,G01L1/14(2006.01)I
6261,一种显示效果好的MR头显,CN209086553U,2019.07.09,2.02E+12,2018.12.03,深圳市远云科技有限公司,薛颖浩,518000广东省深圳市南山区粤海街道粤兴一道18号香港理工大学产学研大楼308,G02B27/01(2006.01)I
6262,软管刚度测量装置,CN209085873U,2019.07.09,2.02E+12,2018.12.04,广州汽车集团股份有限公司,杨勇;,510030广东省广州市越秀区东风中路448-458号成悦大厦23楼,G01M5/00(2006.01)I
